,Date,Home,Away,FTR,Attendance,B365H,B365D,B365A,AttackStrengthHome,AttackStrengthAway,DefenseWeaknessHome,DefenseWeaknessAway,AvgHomePoints,AvgAwayPoints,AvgLosingHomePoints,AvgLosingAwayPoints,AvgGoalDiffHome,AvgGoalDiffAway,HomeWinsRatio,HomeDrawsRatio,AwayWinsRatio,AwayDrawsRatio,AvgHomeCornersLast5,AvgAwayCornersLast5,AvgHomeShotsLast5,AvgHomeShotsOnTargetLast5,AvgAwayShotsLast5,AvgAwayShotsOnTargetLast5,elo,elo_away,FormHomeTeam,FormAwayTeam,ProbabilityDraw,ProbabilityHomeWin,ProbabilityAwayWin,B365_guess,B365_right_or_wrong
55,2019-09-25,24,11,D,37814.0,1.9,3.3,4.5,0.056338028169014,0.0163934426229508,0.0327868852459016,0.028169014084507,1.6666666666666667,0.5,1.3333333333333333,2.5,0.6666666666666666,-0.5,0.3333333333333333,0.6666666666666666,0.0,0.5,5.333333333333333,5.0,12.0,4.666666666666667,9.0,2.0,1803.97338867,1757.4239502,2784.7380574541667,893.6477050783333,0.2355032512591461,0.5567193738959471,0.2077773748449068,H,wrong
56,2019-09-25,21,19,H,57520.0,1.2,7.0,13.0,0.054054054054054,0.03125,0.046875,0.0135135135135135,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,6.5,3.0,23.5,7.5,10.5,3.5,1842.50708008,1658.46020508,3322.3664550733333,3429.1197102866668,0.2150500461758928,0.7130099227027175,0.0719400311213897,H,correct
57,2019-09-26,8,23,H,5434.0,3.5,3.3,2.15,0.0125,0.0615384615384615,0.0307692307692307,0.0,0.0,3.0,3.0,0.0,-1.0,1.3333333333333333,0.0,0.0,1.0,0.0,7.0,5.333333333333333,11.0,1.0,14.0,5.666666666666667,1693.77661133,1769.96020508,0.0,5052.93640137,0.2419647625775033,0.3845096479125315,0.3735255895099652,A,wrong
58,2019-09-26,6,10,D,16361.0,1.85,3.5,4.2,0.0263157894736842,0.03125,0.078125,0.0131578947368421,1.0,2.0,2.0,1.0,-1.0,0.5,0.3333333333333333,0.0,0.5,0.5,5.0,3.5,7.333333333333333,3.333333333333333,6.0,1.5,1677.15991211,1700.90222168,1744.02871704,3379.83618164,0.2406786559350819,0.4599217659471162,0.2993995781178019,H,wrong
59,2019-09-26,22,0,H,28720.0,1.6,4.0,5.5,0.0259740259740259,0.0153846153846153,0.0,0.0389610389610389,3.0,0.5,0.0,2.5,2.0,-1.0,1.0,0.0,0.0,0.5,5.0,2.0,14.0,5.0,5.0,1.0,1750.47961426,1677.41186523,5352.18548583,875.008158365,0.2325675851623636,0.5907722874998602,0.1766601273377761,H,correct
60,2019-09-27,26,5,H,18135.0,1.83,3.8,4.1,0.0963855421686747,0.0298507462686567,0.0895522388059701,0.0602409638554216,1.6666666666666667,0.5,1.3333333333333333,2.5,0.6666666666666666,-1.5,0.3333333333333333,0.6666666666666666,0.0,0.5,2.333333333333333,2.0,13.333333333333334,6.0,5.5,2.5,1739.50427246,1688.96130371,2817.1004740375,898.1184692383334,0.2350945677752976,0.5619507076062888,0.2029547246184135,H,correct
61,2019-09-28,2,24,A,42420.0,2.2,3.2,3.5,0.0568181818181818,0.0294117647058823,0.0,0.0681818181818181,3.0,0.0,0.0,3.0,1.6666666666666667,-2.0,1.0,0.0,0.0,0.0,3.0,4.5,13.0,4.666666666666667,9.0,2.0,1749.72192383,1800.58374023,5413.3014221175,0.0,0.2416234307647754,0.4210234638991946,0.3373531053360299,H,wrong
62,2019-09-28,11,4,A,15135.0,4.33,3.4,1.85,0.0681818181818181,0.0289855072463768,0.0579710144927536,0.0568181818181818,1.6666666666666667,0.3333333333333333,1.3333333333333333,2.6666666666666665,0.6666666666666666,-1.0,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,5.0,5.0,11.666666666666666,2.6666666666666665,9.0,2.333333333333333,1760.81359863,1968.16503906,2901.808827720833,564.6034240716666,0.2354221396924332,0.2068051074128128,0.5577727528947539,A,correct
63,2019-09-28,13,16,H,15519.0,2.4,3.1,3.2,0.0227272727272727,0.028169014084507,0.0140845070422535,0.034090909090909,1.5,0.5,1.5,2.5,0.5,-0.5,0.5,0.0,0.0,0.5,5.0,7.0,10.5,2.0,16.0,5.5,1660.53564453,1642.05566406,2695.934387205,857.4048055016666,0.2380332113618852,0.5190301075503075,0.2429366810878072,H,correct
64,2019-09-28,3,21,D,68032.0,2.4,3.3,3.0,0.0449438202247191,0.0845070422535211,0.028169014084507,0.0337078651685393,2.333333333333333,2.333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,5.666666666666667,6.0,10.666666666666666,4.333333333333333,13.666666666666666,6.666666666666667,1870.55114746,1846.16601562,4073.3435363775,4113.384755450834,0.237551311260374,0.5270840411746011,0.2353646475650249,H,wrong
