,Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes
79,8.0,Sat,2022-10-08,16:15,Atlético Madrid,1.9,2–1,0.8,Girona,54069.0,Estadio Cívitas Metropolitano,Juan Martínez,Match Report,
80,8.0,Sat,2022-10-08,18:30,Sevilla,1.0,1–1,1.7,Athletic Club,36502.0,Estadio Ramón Sánchez Pizjuán,Jesús Gil,Match Report,
81,8.0,Sat,2022-10-08,21:00,Getafe,0.3,0–1,1.4,Real Madrid,14502.0,Coliseum Alfonso Pérez,Antonio Matéu Lahoz,Match Report,
82,8.0,Sun,2022-10-09,14:00,Valladolid,0.6,0–0,0.5,Betis,22561.0,Estadio Municipal José Zorrilla,Carlos del Cerro,Match Report,
83,8.0,Sun,2022-10-09,16:15,Cádiz,1.3,2–2,1.3,Espanyol,16572.0,Estadio Nuevo Mirandilla,Alejandro Hernández,Match Report,
84,8.0,Sun,2022-10-09,18:30,Real Sociedad,1.2,1–0,0.2,Villarreal,32689.0,Reale Arena,César Soto,Match Report,
85,8.0,Sun,2022-10-09,21:00,Barcelona,2.0,1–0,1.5,Celta Vigo,81525.0,Camp Nou,José Luis Munuera,Match Report,
86,8.0,Mon,2022-10-10,21:00,Elche,0.5,1–1,2.3,Mallorca,12000.0,Estadio Manuel Martínez Valero,Valentín Pizarro,Match Report,
87,,,,,,,,,,,,,,
88,9.0,Fri,2022-10-14,21:00,Rayo Vallecano,1.6,0–0,0.4,Getafe,13076.0,Estadio del Rayo Vallecano,Mario Melero,Match Report,
89,9.0,Sat,2022-10-15,14:00,Girona,2.3,1–1,1.1,Cádiz,9927.0,Estadi Municipal de Montilivi,Ricardo de Burgos,Match Report,
90,9.0,Sat,2022-10-15,16:15,Valencia,2.7,2–2,1.7,Elche,41805.0,Estadio de Mestalla,Juan Pulido,Match Report,
91,9.0,Sat,2022-10-15,18:30,Mallorca,0.7,0–1,0.2,Sevilla,15300.0,Iberostar Estadi,Javier Villanueva,Match Report,
92,9.0,Sat,2022-10-15,21:00,Athletic Club,1.2,0–1,0.3,Atlético Madrid,48391.0,San Mamés,Jorge Figueroa,Match Report,
93,9.0,Sun,2022-10-16,14:00,Celta Vigo,0.5,1–2,0.8,Real Sociedad,13101.0,Estadio de Balaídos,Guillermo Cuadra,Match Report,
94,9.0,Sun,2022-10-16,16:15,Real Madrid,1.1,3–1,2.0,Barcelona,62876.0,Estadio Santiago Bernabéu,José Sánchez,Match Report,
95,9.0,Sun,2022-10-16,18:30,Espanyol,1.3,1–0,0.7,Valladolid,17770.0,RCDE Stadium,Antonio Matéu Lahoz,Match Report,
96,9.0,Sun,2022-10-16,21:00,Betis,2.5,3–1,0.8,Almería,46112.0,Estadio Benito Villamarín,Alejandro Muñíz,Match Report,
97,9.0,Mon,2022-10-17,21:00,Villarreal,1.5,2–0,0.5,Osasuna,9699.0,Estadio Ciudad de Valencia,Pablo González,Match Report,
98,,,,,,,,,,,,,,
99,10.0,Tue,2022-10-18,19:00,Sevilla,1.1,1–1,1.8,Valencia,37353.0,Estadio Ramón Sánchez Pizjuán,César Soto,Match Report,
100,10.0,Tue,2022-10-18,20:00,Getafe,0.8,2–2,1.0,Athletic Club,11395.0,Coliseum Alfonso Pérez,José Luis Munuera,Match Report,
101,10.0,Tue,2022-10-18,21:00,Atlético Madrid,1.1,1–1,1.8,Rayo Vallecano,46803.0,Estadio Cívitas Metropolitano,Javier Villanueva,Match Report,
102,10.0,Wed,2022-10-19,19:00,Cádiz,0.9,0–0,0.9,Betis,18505.0,Estadio Nuevo Mirandilla,Antonio Matéu Lahoz,Match Report,
103,10.0,Wed,2022-10-19,19:00,Valladolid,1.5,4–1,2.6,Celta Vigo,16547.0,Estadio Municipal José Zorrilla,Valentín Pizarro,Match Report,
104,10.0,Wed,2022-10-19,20:00,Real Sociedad,1.2,1–0,0.9,Mallorca,27085.0,Reale Arena,Miguel Ángel Ortiz Arias,Match Report,
