,Home,Away,FTR,Attendance,B365H,B365D,B365A,AvgHomePoints,AvgAwayPoints,AvgLosingHomePoints,AvgLosingAwayPoints,AvgGoalDiffHome,AvgGoalDiffAway,HomeWinsRatio,HomeDrawsRatio,AwayWinsRatio,AwayDrawsRatio,AvgHomeCornersLast5,AvgAwayCornersLast5,AvgHomeShotsLast5,AvgHomeShotsOnTargetLast5,AvgAwayShotsLast5,AvgAwayShotsOnTargetLast5,elo,elo_away,FormHomeTeam,FormAwayTeam,ProbabilityHomeWin,ProbabilityAwayWin,Date
74,19,26,1,15349.0,3.0,3.3,2.4,1.0,1.0,2.0,2.0,0.0,0.3333333333333333,0.0,1.0,0.3333333333333333,0.0,6.0,4.666666666666667,11.0,4.333333333333333,14.0,4.333333333333333,1660.98937988,1752.67895508,1781.6032409675,1739.5065917975,0.362226295769652,0.3958589079491629,2019-10-05
75,18,10,1,15052.0,2.45,3.25,3.0,1.0,1.6666666666666667,2.0,1.3333333333333333,-0.5,0.3333333333333333,0.25,0.25,0.3333333333333333,0.6666666666666666,6.5,3.6666666666666665,11.75,3.0,7.333333333333333,2.333333333333333,1560.18115234,1701.78491211,1750.59868164,2762.473093666667,0.292051471106423,0.4675262821280121,2019-10-06
76,6,2,1,19690.0,2.7,3.0,2.87,1.0,1.0,2.0,2.0,-0.75,0.0,0.25,0.25,0.0,1.0,5.25,5.666666666666667,9.0,3.25,8.0,3.0,1671.27148438,1744.25805664,1744.07458496,1659.87664795,0.3891164677984312,0.368932941515269,2019-10-06
77,25,3,0,23650.0,5.5,3.5,1.72,1.0,2.0,2.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.6666666666666666,0.0,8.0,4.666666666666667,10.0,3.0,10.333333333333334,3.0,1642.02880859,1877.76538086,1732.2569173166669,3296.26116943,0.1736501890187224,0.5941062449862266,2019-10-06
78,22,11,-1,30153.0,1.9,3.4,4.33,3.0,0.6666666666666666,0.0,2.333333333333333,2.5,-0.3333333333333333,1.0,0.0,0.0,0.6666666666666666,5.0,5.0,17.5,6.0,12.0,3.0,1755.84655762,1764.55883789,5332.68249511,1186.288798015,0.4812257194461779,0.2788748790354638,2019-10-06
79,4,23,1,81331.0,1.5,4.2,7.0,3.0,2.25,0.0,0.75,2.333333333333333,0.75,1.0,0.0,0.75,0.0,6.333333333333333,4.25,15.0,7.0,12.25,5.25,1980.53186035,1773.74365234,5245.70343018,3923.0011779795,0.7337403134446883,0.0557188931810219,2019-10-06
80,13,19,1,16986.0,2.4,3.0,3.3,2.0,1.25,1.0,1.75,0.6666666666666666,-0.25,0.6666666666666666,0.0,0.25,0.5,6.0,5.5,10.666666666666666,2.6666666666666665,10.75,2.5,1665.83447266,1669.56518555,3530.71697998,2122.4151000975,0.4882299345229023,0.2721687942225644,2019-10-18
81,8,4,-1,7295.0,6.0,4.5,1.5,2.0,1.0,1.0,2.0,0.6666666666666666,-0.25,0.6666666666666666,0.0,0.25,0.25,5.333333333333333,4.0,9.666666666666666,2.6666666666666665,9.25,3.25,1714.18884277,1985.05554199,3571.67718506,1697.885986326,0.1362260324568989,0.6362653135272671,2019-10-19
82,3,24,0,61603.0,1.57,3.75,6.0,2.0,1.0,1.0,2.0,0.5,-1.0,0.5,0.5,0.3333333333333333,0.0,5.5,5.333333333333333,9.75,3.5,9.333333333333334,3.333333333333333,1873.40270996,1801.30688477,3513.672607424,1820.5134582525,0.58955373918239,0.1777619559671558,2019-10-19
83,11,16,1,13.0,1.85,3.1,5.25,1.25,0.3333333333333333,1.75,2.6666666666666665,0.0,-0.6666666666666666,0.25,0.5,0.0,0.3333333333333333,4.75,5.666666666666667,10.75,2.25,15.666666666666666,5.666666666666667,1774.19775391,1630.69873047,2148.75997925,576.5522155766666,0.672383227518217,0.10525321016249,2019-10-19
