,Wk,Day,Date,Time,Home,Away,FTR,Attendance,B365H,B365D,B365A,AttackStrengthHome,AttackStrengthAway,DefenseWeaknessHome,DefenseWeaknessAway,Season,AvgHomePoints,AvgAwayPoints,AvgLosingHomePoints,AvgLosingAwayPoints,AvgGoalDiffHome,AvgGoalDiffAway,HomeWinsRatio,HomeDrawsRatio,AwayWinsRatio,AwayDrawsRatio,AvgHomeCornersLast5,AvgAwayCornersLast5,AvgHomeShotsLast5,AvgHomeShotsOnTargetLast5,AvgAwayShotsLast5,AvgAwayShotsOnTargetLast5,elo,elo_away,FormHomeTeam,FormAwayTeam,ProbabilityDraw,ProbabilityHomeWin,ProbabilityAwayWin
51,6.0,Tue,2019-09-24,19:00,Betis,Levante,H,44560.0,1.95,3.6,3.8,0.0625,0.0363636363636363,0.0727272727272727,0.0625,19/20,1.3333333333333333,0.0,1.6666666666666667,3.0,0.0,-1.0,0.3333333333333333,0.3333333333333333,0.0,0.0,7.333333333333333,7.5,12.333333333333334,3.6666666666666665,12.0,3.5,1680.05529785,1689.05236816,2238.0894368433333,0.0,0.2399158477445073,0.4808243668920117,0.2792597853634808
52,6.0,Tue,2019-09-24,20:00,Barcelona,Villarreal,H,70316.0,1.3,5.75,9.0,0.1492537313432835,0.0714285714285714,0.0714285714285714,0.0298507462686567,19/20,3.0,1.5,0.0,1.5,3.0,1.0,1.0,0.0,0.5,0.0,6.5,4.5,18.5,8.5,15.5,5.0,1966.14746094,1741.52185059,5220.5275879,2648.518493655,0.2068167828050481,0.7489936197622797,0.044189597432672
53,6.0,Wed,2019-09-25,18:00,Mallorca,Atlético Madrid,A,19348.0,6.5,3.6,1.61,0.0285714285714285,0.0172413793103448,0.0344827586206896,0.0285714285714285,19/20,1.3333333333333333,1.5,1.6666666666666667,1.5,0.0,-0.5,0.3333333333333333,0.3333333333333333,0.5,0.0,6.0,4.5,12.666666666666666,3.0,9.0,3.0,1566.95617676,1865.99841309,2350.4028320299994,2475.246765135,0.2231067269836456,0.1092641802728753,0.6676290927434789
54,6.0,Wed,2019-09-25,18:00,Leganés,Athletic Club,D,11036.0,2.87,3.0,2.7,0.0,0.0166666666666666,0.0833333333333333,0.0142857142857142,19/20,0.0,1.0,3.0,2.0,-1.6666666666666667,0.0,0.0,0.0,0.0,1.0,8.333333333333334,6.0,11.0,3.333333333333333,7.5,3.5,1641.09387207,1750.68383789,0.0,1656.07836914,0.2416125858585676,0.336712983151739,0.4216744309896935
55,6.0,Wed,2019-09-25,19:00,Valencia,Getafe,D,37814.0,1.9,3.3,4.5,0.056338028169014,0.0163934426229508,0.0327868852459016,0.028169014084507,19/20,1.6666666666666667,0.5,1.3333333333333333,2.5,0.6666666666666666,-0.5,0.3333333333333333,0.6666666666666666,0.0,0.5,5.333333333333333,5.0,12.0,4.666666666666667,9.0,2.0,1803.97338867,1757.4239502,2784.7380574541667,893.6477050783333,0.2355032512591461,0.5567193738959471,0.2077773748449068
56,6.0,Wed,2019-09-25,20:00,Real Madrid,Osasuna,H,57520.0,1.2,7.0,13.0,0.054054054054054,0.03125,0.046875,0.0135135135135135,19/20,2.0,2.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,6.5,3.0,23.5,7.5,10.5,3.5,1842.50708008,1658.46020508,3322.3664550733333,3429.1197102866668,0.2150500461758928,0.7130099227027175,0.0719400311213897
57,6.0,Thu,2019-09-26,18:00,Eibar,Sevilla,H,5434.0,3.5,3.3,2.15,0.0125,0.0615384615384615,0.0307692307692307,0.0,19/20,0.0,3.0,3.0,0.0,-1.0,1.3333333333333333,0.0,0.0,1.0,0.0,7.0,5.333333333333333,11.0,1.0,14.0,5.666666666666667,1693.77661133,1769.96020508,0.0,5052.93640137,0.2419647625775033,0.3845096479125315,0.3735255895099652
58,6.0,Thu,2019-09-26,19:00,Celta Vigo,Espanyol,D,16361.0,1.85,3.5,4.2,0.0263157894736842,0.03125,0.078125,0.0131578947368421,19/20,1.0,2.0,2.0,1.0,-1.0,0.5,0.3333333333333333,0.0,0.5,0.5,5.0,3.5,7.333333333333333,3.333333333333333,6.0,1.5,1677.15991211,1700.90222168,1744.02871704,3379.83618164,0.2406786559350819,0.4599217659471162,0.2993995781178019
59,6.0,Thu,2019-09-26,20:00,Real Sociedad,Alavés,H,28720.0,1.6,4.0,5.5,0.0259740259740259,0.0153846153846153,0.0,0.0389610389610389,19/20,3.0,0.5,0.0,2.5,2.0,-1.0,1.0,0.0,0.0,0.5,5.0,2.0,14.0,5.0,5.0,1.0,1750.47961426,1677.41186523,5352.18548583,875.008158365,0.2325675851623636,0.5907722874998602,0.1766601273377761
60,7.0,Fri,2019-09-27,20:00,Villarreal,Betis,H,18135.0,1.83,3.8,4.1,0.0963855421686747,0.0298507462686567,0.0895522388059701,0.0602409638554216,19/20,1.6666666666666667,0.5,1.3333333333333333,2.5,0.6666666666666666,-1.5,0.3333333333333333,0.6666666666666666,0.0,0.5,2.333333333333333,2.0,13.333333333333334,6.0,5.5,2.5,1739.50427246,1688.96130371,2817.1004740375,898.1184692383334,0.2350945677752976,0.5619507076062888,0.2029547246184135
