Address,Price,Til salg,energyL,timeOnMarketB,timeOnMarketA,pay,sqmPr,sqm,floor,rooms,fees,built,renov,floorLvl,garage,toil,varme,oWall,area,roof,roofType,value,lastPrice,Til leje,depo,size,period,from
"https://www.boligsiden.dk/adresse/soendre-boulevard-329-7200-grindsted-05300656_329_______?udbud=4f4750cc-8975-4e65-97bc-7957f63d7821
",1.995.000 kr.," Søndre Boulevard 329, Grindsted - Villa på 138 m² - Boligsiden",C,0,0,100000,13716,830,,4,1678,1986,,1-,,2,fjernvarme/blokvarme,,145.45,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/torvegade-10v-8850-bjerringbro-07911627_10v_______?udbud=882ba12c-cb83-4c91-acf5-0b8ecd951faa
",695.000 kr.," Torvegade 10V, Bjerringbro - Ejerlejlighed på 138 m² - Boligsiden",C,0,0,35000,5036,,,1,1586,1993,,,,,,,,,,,,,,,,
"https://www.boligsiden.dk/adresse/hyttefadet-13-9240-nibe-08513490__13_______?udbud=b99b49e3-91f4-4b6f-978c-a765e499d1fb
",1.695.000 kr.," Hyttefadet 13, Nibe - Fritidsbolig på 105 m² - Boligsiden",,0,0,85000,16143,1406,,4,1169,2024,,,,,,,,,,,,,,,,
"https://www.boligsiden.dk/adresse/vigerslevvej-285a-0-tv-2500-valby-01018320285a_st__tv?udbud=c921ee29-51b0-45b6-aa0d-2aae6162d4bb
",1.798.000 kr.," Vigerslevvej 285A, st. tv., Valby - Ejerlejlighed på 49 m² - Boligsiden",C,0,0,90000,36694,,0,2,2422,1940,,3-0,,1,fjernvarme/blokvarme,,,,Fibercement herunder asbest,,,,,,,
"https://www.boligsiden.dk/adresse/cottaslow-30-5700-svendborg-04791185__30_______?udbud=c205cc9d-5b54-45ec-a846-ba92aa27272e
",2.895.000 kr.," Cottaslow 30, Svendborg - Villa på 125 m² - Boligsiden",A2015,0,0,145000,23160,362,,4,2220,2024,,,,,,,,,,,,,,,,
"https://www.boligsiden.dk/adresse/dalgasgade-12-1-7400-herning-06571090__12__1____?udbud=bc9bef2b-427a-4087-b9c0-4708aaae839e
",1.465.000 kr.," Dalgasgade 12, 1., Herning - Ejerlejlighed på 80 m² - Boligsiden",D,0,0,75000,18312,,1,2,1276,1912,1990,2-1,,2,fjernvarme/blokvarme,,,,Betontagsten,,,,,,,
"https://www.boligsiden.dk/adresse/groenningen-6-6700-esbjerg-05612689___6_______?udbud=f1b0659c-8b0d-41b0-b12e-c3172e57b0e6
",2.298.000 kr.," Grønningen 6, Esbjerg - Villa på 103 m² - Boligsiden",E,0,0,115000,17876,772,,3,2017,1962,,1-,,2,fjernvarme/blokvarme,,128.55,,Andet materiale,,,,,,,
"https://www.boligsiden.dk/adresse/jordloesevej-15-5672-broby-04300640__15_______?udbud=584f4a95-a511-44ac-9208-7c9c5d2b564e
",2.585.000 kr.," Jordløsevej 15, V Hæsinge, Broby - Landejendom på 209 m² - Boligsiden",A2010,0,0,130000,11061,40268,,8,1466,1897,,1-,,2,varmepumpe,,233.7,,Metal,,,,,,,
"https://www.boligsiden.dk/adresse/skolebakken-30-7400-herning-06577040__30_______?udbud=7d86338a-f14d-4072-8224-c7ddda14bf8c
",1.195.000 kr.," Skolebakken 30, Gjellerup, Herning - Helårsgrund på 755 m² - Boligsiden",,0,0,60000,1583,755,,,463,,,,,,,,,,,,,,,,,
"https://www.boligsiden.dk/adresse/rydskovvej-17-5560-aarup-04100978__17_______?udbud=dda5453e-310c-4bb6-b80e-76328bef387f
",4.495.000 kr.," Rydskovvej 17, Billesbølle, Aarup - Landejendom på 218 m² - Boligsiden",A2010,0,0,225000,19160,75423,,5,1588,1850,2009,1-,,2,varmepumpe,,234.6,,Metal,,,,,,,
